Municipality;Station ID;x-Koordinate;y-Koordinate;Zelle_x;Zelle_y;Mean_2013-2023 [m asl.];sim-obs;sim-int;int-obs
EX_Freiburg_im_Breisgau;0106/120-5 - Stadt Freiburg;418840;5315180;450;214;319.36;9.328116435;0.362127665;8.96598877
EX_Ehrenkirchen;0118/070-0 - LUBW;404821;5310255;169;313;213.33;9.01472451;-2.07827964;11.09300415
EX_Bad_Krozingen;0130/070-4 - LUBW;400668;5309056;86;337;200.43;7.516822733;-0.381180197;7.89800293
EX_Freiburg_im_Breisgau;0926/120-3 - Stadt Freiburg;417280;5315500;418;208;302.35;6.897048204;-0.115958387;7.013006592
EX_Eichstetten;0100/071-0 - LUBW;400664;5305133;86;415;225.47;6.331516621;0.28552541;6.045991211
EX_Breisach_am_Rhein;0011/070-8 - LUBW;400797;5314359;89;231;192.49;6.148125184;-0.02386212;6.171987305
EX_Freiburg_im_Breisgau;0107/120-0 - Stadt Freiburg;418400;5315360;441;211;314.16;5.970004883;-0.75100708;6.721011963
EX_Bad_Krozingen;0118/020-6 - LUBW;399181;5311941;56;279;193.02;4.369867977;-4.263131901;8.632999878
EX_Schallstadt;0113/070-7 - LUBW;404284;5313033;159;257;215.54;3.610696495;-0.416304848;4.027001343
EX_Hartheim_am_Rhein;0121/020-0 - LUBW;398205;5310449;37;309;193.88;2.042482189;-8.086520496;10.12900269
EX_Breisach_am_Rhein;PH 007 - Badenova;398831;5314403;49;230;192.18;1.987139849;-4.071873823;6.059013672
EX_Kirchzarten;PE 20 - Badenova;419674;5314457;466;229;332.99;1.417870219;-7.284115865;8.701986084
EX_Bad_Krozingen;0159/070-6 - LUBW;403662;5307069;146;376;236.93;1.314315983;-5.033683894;6.347999878
EX_Freiburg_im_Breisgau;2070/069-8 - Stadt Freiburg;405040;5317540;174;167;202.35;1.026661345;-0.267351106;1.294012451
EX_Breisach_am_Rhein;0247/020-6 - LUBW;397866;5313214;30;254;193.25;0.959977401;-2.772017228;3.731994629
EX_Kirchzarten;PE 06 - Badenova;420570;5314782;484;222;337.01;0.561294259;-13.97271209;14.53400635
EX_Breisach_am_Rhein;0106/020-1 - LUBW;397828;5315182;29;214;191.97;0.550717994;-2.311282739;2.862000732
EX_Freiburg_im_Breisgau;2215/119-8 - Stadt Freiburg;414020;5321320;353;91;219.57;0.469225665;-2.241764935;2.710990601
EX_Stegen;PE 39 - Badenova;420740;5315389;488;210;337.42;0.386719467;-14.93128712;15.31800659
EX_Ehrenkirchen;0160/070-0 - LUBW;405428;5306537;181;387;245.08;-0.106043307;-6.034054171;5.928010864
EX_Freiburg_im_Breisgau;0324/069-3 - Stadt Freiburg;407760;5318220;228;153;213.31;-0.107074752;-1.377076583;1.270001831
EX_Freiburg_im_Breisgau;2215/069-1 - Stadt Freiburg;410120;5322160;275;75;206.8;-0.386335294;-1.00233566;0.616000366
EX_Hartheim_am_Rhein;2037/020-1 - LUBW;396635;5312263;6;273;192.55;-1.029995728;-1;-0.029995728
EX_Freiburg_im_Breisgau;0347/069-2 - Stadt Freiburg;408560;5317360;244;171;220.81;-1.19652864;-2.70053926;1.50401062
EX_Bad_Krozingen;0101/071-4 - LUBW;402439;5305371;122;410;246.09;-1.667968298;-2.784969031;1.117000732
EX_Freiburg_im_Breisgau;2297/069-3 - Stadt Freiburg;410840;5320560;290;107;219.23;-2.767189455;-2.977191897;0.210002441
EX_Freiburg_im_Breisgau;2279/070-0 - Stadt Freiburg;409120;5315620;255;205;226.57;-3.352928184;-7.004928306;3.652000122
EX_Freiburg_im_Breisgau;2176/069-8 - Stadt Freiburg;411040;5319920;294;119;223.17;-4.760791176;-7.214799354;2.454008179
EX_Staufen_im_Breisgau;0113/071-9 - LUBW;403954;5304518;152;428;267.05;-6.160159777;-7.891165636;1.731005859
EX_Freiburg_im_Breisgau;2142/070-6 - Stadt Freiburg;409940;5315000;272;218;232.08;-6.541707132;-11.33071043;4.789003296
EX_Freiburg_im_Breisgau;2219/119-0 - Stadt Freiburg;412980;5320000;332;118;228.37;-6.566369667;-10.57336857;4.006998901
EX_Freiburg_im_Breisgau;2170/069-5 - Stadt Freiburg;410540;5318720;284;143;227.56;-7.110640084;-9.369640329;2.259000244
EX_Freiburg_im_Breisgau;2250/069-0 - Stadt Freiburg;411640;5318400;306;150;233.58;-9.226652195;-15.00566098;5.779008789
EX_Freiburg_im_Breisgau;2192/070-8 - Stadt Freiburg;410680;5315460;286;209;237.24;-10.10484445;-16.51784433;6.412999878
EX_Kirchzarten;PE 33 - Badenova;420807;5313859;489;241;353.06;-12.8954158;-20.7224092;7.826993408
EX_Freiburg_im_Breisgau;2117/120-0 - Stadt Freiburg;415160;5315640;376;205;280.54;-13.51930994;-18.63232508;5.113015137
EX_Freiburg_im_Breisgau;2117/119-1 - Stadt Freiburg;413160;5317040;336;177;251.78;-18.37969865;-28.50271379;10.12301514
EX_Freiburg_im_Breisgau;2047/120-2 - Stadt Freiburg;414480;5315160;362;215;273.22;-20.68992606;-26.08091849;5.390992432
EX_Freiburg_im_Breisgau;0016/120-1 - Stadt Freiburg;413500;5316680;343;184;256.99;-20.80703037;-31.38401646;10.57698608