ID;x-coordinate;y-coordinate;cell_x;cell_y;municipality;purpose;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;annual_average;layer;Name
4060/070-7;403358.03;5311798.75;140;282;Schallstadt;Beregnung;400;505;;7438;11443;121;189;6377;17970;24410;28353;26.63178082;2;
4064/070-9;403037.16;5306651.79;134;385;Bad Krozingen;Kuehlwasserversorgung;85322;106938;101577;106698;107404;103902;98661;105428;113873;112873;104767;285.7890411;2;
4066/070-0;401989.61;5310351.34;113;311;Bad Krozingen;Waermepumpe (Entnahmestelle) ausgefuehrt;42851;55132;46801;58879;54297;51164;42442;39067;34451;32301;29759;121.3309589;2;
4068/070-0;402308.45;5312735.4;119;263;Schallstadt;Beregnung;781;1712;349;0;0;0;0;2460;0;0;0;1.320547945;2;
4087/070-8;402495.39;5310299.37;123;312;Bad Krozingen;Waermepumpe (Entnahmestelle) ausgefuehrt;1953;1695;1572;1576;1748;1498;1469;1326;1431;1370;1296;4.217808219;2;
4093/070-2;403056.15;5306686.78;134;384;Bad Krozingen;Waermepumpe (Entnahmestelle) ausgefuehrt;7900;5725;4574;9065;5722;8860;6725;7717;9459;15657;8539;22.40164384;2;
4095/070-3;402491.15;5307443.96;123;369;Bad Krozingen;Beregnung;6056;6400;32061;14800;14851;14881;14400;14875;2078;3801;7008;32.68027397;2;
4096/070-9;406582.75;5307384.51;205;370;Ehrenkirchen;Waermepumpe (Entnahmestelle) ausgefuehrt;4761;5064;5490;5634;4905;4593;4629;4299;5535;4236;4512;13.36438356;2;
41/020-9;399373.65;5308068.23;60;357;Bad Krozingen;oeffentliche Wasserversorgung;26596;30717;26808;22470;22061;21824;21480;0;0;86553;239421;124.0175342;2;
41/071-0;410482.21;5301745.79;283;483;Muenstertal/ Schwarzwald;Eigenwasserversorgung;7100;6199;6473;6857;7104;8002;7287;5499;5911;6080;6026;18.06684932;2;
4108/070-0;405329.26;5308161.21;179;355;Ehrenkirchen;Waermepumpe (Entnahmestelle) ausgefuehrt;3400;2250;3675;5315;5010;3300;4700;3500;4050;3900;4280;10.80438356;2;
4110/070-2;403483.99;5312649.43;143;265;Schallstadt;Beregnung;5912;8733;11554;5994;7458;11335;6231;15211;6744;8855;6584;23.56438356;2;
4111/070-8;406633.74;5307456.48;206;369;Ehrenkirchen;Waermepumpe (Entnahmestelle) ausgefuehrt;2680;2350;2693;2528;2502;2083;1792;1856;1861;1737;1804;5.949315068;2;
4125/070-6;412535.4;5313216.14;324;254;Merzhausen;Waermepumpe (Entnahmestelle) ausgefuehrt;;54166;30351;18136;21909;26283;17660;998;15653;21119;20703;62.18575342;2;
4129/070-8;402596.35;5306970.68;125;378;Bad Krozingen;Beregnung Sport- und Freizeitanlagen;;31;22;1;4;0;0;0;0;0;0;0.015890411;2;
4130/070-5;402614.34;5306947.69;125;379;Bad Krozingen;Beregnung Sport- und Freizeitanlagen;;33;181;7;374;0;0;0;0;0;0;0.163013699;2;
4131/070-0;402569.36;5306912.7;124;380;Bad Krozingen;Beregnung Sport- und Freizeitanlagen;;33;0;3;0;0;0;0;0;0;0;0.009863014;2;
4134/070-7;407295.49;5309078.84;219;336;Ehrenkirchen;oeffentliche Wasserversorgung;412921;351644;304901;373339;286270;280504;256200;282870;263090;268307;210313;819.5164384;2;
42/020-4;399692.52;5308091.22;67;356;Bad Krozingen;Beregnung;1821;1631;1747;881;1037;1421;1110;1213;1158;1622;1745;3.832054795;2;
44/020-5;399874.44;5309464.68;70;329;Bad Krozingen;Beregnung;10914;7775;30005;4620;3900;20600;30600;29800;20750;36500;59100;63.40328767;2;
4412/069-6;409290.64;5322349.51;259;71;March;Beregnung;1418;1555;2203;2127;2476;2417;3192;2049;1707;2120;1936;5.778356164;2;
4414/069-7;405840;5320788.12;190;102;Umkirch;Beregnung;29160;11340;13780;7010;11100;27710;18100;7870;580;17980;13650;39.42219178;2;
4416/069-8;407861.2;5324378.7;230;30;March;Beregnung;970;1140;690;380;1160;1050;1020;1120;240;580;1720;2.508219178;2;
4418/069-9;407338.43;5320280.33;220;112;Umkirch;Bewaesserung;213;213;213;213;0;0;;8271;2389;2663;0;3.883561644;2;
4456/069-3;409610.52;5324096.82;265;36;March;Beregnung;4800;3600;8400;5200;5500;6700;5000;5000;4100;5900;4000;14.49561644;2;
4462/069-8;408361.02;5321284.92;240;92;Umkirch;Beregnung;12720;700;6390;3740;6280;11830;0;7120;610;0;6770;13.98767123;2;
4475/069-0;409592.52;5322268.54;265;72;March;Waermepumpe (Entnahmestelle) ausgefuehrt;0;0;0;5375;155791;141233;137575;149182;159875;106489;75908;231.9871233;2;
4476/069-6;409458.57;5322387.49;262;70;March;Waermepumpe (Entnahmestelle) ausgefuehrt;67600;68275;96103;99675;116039;115492;116185;66293;77719;122942;146984;272.3054795;2;
4477/069-1;407765.26;5320201.36;228;114;Umkirch;Waermepumpe (Entnahmestelle) ausgefuehrt;9276;8346;10691;11349;11026;10832;10703;11202;;10317;11240;28.76219178;2;
4491/069-1;409676.49;5322215.57;266;74;March;Waermepumpe (Entnahmestelle) ausgefuehrt;86453;81018;125876;111919;55491;95165;110945;112107;118809;102725;129864;281.5372603;2;
4492/069-7;409634.51;5322221.56;266;73;March;Waermepumpe (Entnahmestelle) ausgefuehrt;55327;66006;116791;110992;71389;65553;67629;87422;79314;51623;57871;206.7041096;2;
4493/069-2;409549.54;5322301.53;264;72;March;Waermepumpe (Entnahmestelle) ausgefuehrt;59527;77070;93641;111874;73248;64829;71714;67851;82181;51086;59680;202.4161644;2;
4495/069-3;409408.59;5322433.48;261;69;March;Waermepumpe (Entnahmestelle) ausgefuehrt;0;0;12982;125358;83613;76202;79473;104344;86680;58494;67455;173.0013699;2;
45/020-0;399776.48;5309044.85;68;337;Bad Krozingen;Beregnung;20955;11333;24215;24041;31170;33448;38526;38709;25548;42129;29200;79.52027397;2;
4511/069-8;407473.13;5319622.29;222;125;Umkirch;Notwasserversorgung;3037;284;616;203;653;111;201;166;251;103;139;1.435616438;2;
4516/069-5;410474.19;5324779.55;282;22;March;Waermepumpe (Entnahmestelle) ausgefuehrt;4553;2530;3027;4172;3392;3307;3074;3072;3268;2765;2363;8.847671233;2;
4522/069-0;407782.25;5320510.25;229;108;Umkirch;Waermepumpe (Entnahmestelle) ausgefuehrt;11182;10800;11038;11927;9061;8158;8947;13170;14706;12583;12136;30.81150685;2;
4526/069-1;407314.42;5321696.75;219;84;Umkirch;Waermepumpe (Entnahmestelle) ausgefuehrt;7620;13419;12160;105293;154954;124423;104490;111708;113148;149802;159520;263.1473973;2;
4532/069-6;408514.95;5323799.93;243;42;March;Waermepumpe (Entnahmestelle) ausgefuehrt;24702;20849;21179;23479;21648;22187;19644;16383;14306;16078;13411;53.26684932;2;
4536/069-8;405748.04;5322549.42;188;67;Gottenheim;Waermepumpe (Entnahmestelle) ausgefuehrt;12227;9963;11411;6009;11166;8976;10432;8988;9578;6939;7748;25.76273973;2;
4557/069-6;407474.36;5319626.59;222;125;Umkirch;oeffentliche Wasserversorgung;282643;284180;302083;304983;317695;320412;313723;323557;307796;304621;295497;836.1619178;2;
4563/069-0;407597.32;5321430.86;225;89;Umkirch;Kuehlwasserversorgung;476597;448706;448575;422512;434217;404955;263536;126473;144447;184537;148209;872.4194521;2;
4571/069-6;408906.81;5323521.04;251;47;March;Waermepumpe (Entnahmestelle) ausgefuehrt;104890;86186;107549;83557;90621;89004;98525;96451;53771;85792;86574;244.8120548;2;
4580/069-7;405910.98;5322821.32;191;61;Gottenheim;Bewaesserung;5421;6819;6180;5516;6862;9293;8387;10398;5893;12897;10369;21.92657534;2;
46/071-7;409920.44;5299728.56;271;523;Muenstertal/ Schwarzwald;;162360;166289;156102;136807;142428;145801;131626;132713;138755;142564;143724;398.2986301;2;
46/170-9;429009.84;5314772.57;653;222;Buchenbach;oeffentliche Wasserversorgung;57486;46416;42920;44963;39855;30773;34978;23267;45979;32331;43204;110.130137;3;
48/020-7;398786.89;5308542.04;49;347;Bad Krozingen;Beregnung;23833;17381;32088;25161;25088;51704;50476;57473;16260;59126;40584;99.42054795;2;
48/170-0;427950.26;5307014.65;632;378;Hinterzarten;Eigenwasserversorgung;1446;1515;1422;1370;1303;1209;1152;973;967;1022;1037;3.341369863;2;
4816/120-2;413678.92;5312668.35;346;265;Au;oeffentliche Wasserversorgung;20757;13062;9693;21546;5359;8093;3934;4368;6857;4309;4774;25.59205479;2;
4817/120-8;420761.09;5312408.46;488;270;Kirchzarten;Eigenwasserversorgung;144;152;219;185;148;126;139;134;128;102;105;0.393972603;3;
4820/120-6;423746.91;5308859.88;548;341;Oberried;oeffentliche Wasserversorgung;137297;135975;105631;141581;104937;117879;99631;110221;119089;117197;104666;322.3172603;3;
4828/120-0;421682.72;5312781.28;507;262;Kirchzarten;Waermepumpe (Entnahmestelle) ausgefuehrt;13899;2315;5998;2582;6798;6518;4198;4345;3888;4562;22346;19.28986301;3;
5/070-3;402868.24;5312095.62;130;276;Schallstadt;Eigenwasserversorgung;1561;2470;2009;2117;5468;4799;3376;4797;2328;3096;2541;8.608219178;2;
51/169-9;426623.79;5317281.54;605;172;Stegen;Eigenwasserversorgung;3264;4106;4162;4005;3808;4479;4245;2943;2531;3434;3742;10.14164384;3;
51/170-8;427209.55;5311966.67;617;279;Buchenbach;oeffentliche Wasserversorgung;48928;25377;0;10077;62055;30195;59744;36857;66202;40085;43460;105.349863;3;
58/070-1;402846.25;5306775.75;130;382;Bad Krozingen;Brauchwasserversorgung Industrie/Gewerbe;11885;13471;16871;17870;13360;17893;10941;13666;12692;16941;15827;40.20356164;2;
60/070-4;402310.47;5308091.23;119;356;Bad Krozingen;Thermalwassergewinnung;18444;14061;19592;12269;21678;23576;21352;21295;11373;15900;4565;45.85424658;2;
61/070-0;402313.47;5308150.21;119;355;Bad Krozingen;Thermalwassergewinnung;75418;74603;63732;72205;66217;54989;57244;59005;56540;68791;58900;176.250137;2;
62/070-5;403572.94;5305996.07;144;398;Bad Krozingen;Beregnung;13;48;93;70;70;10;9;11;6;89;122;0.134794521;2;
66/070-7;412484.39;5311813.71;323;282;Au;Brauchwasserversorgung Industrie/Gewerbe;15;19;9;131;119;138;142;138;136;137;108;0.272054795;2;
66/170-1;425512.21;5312762.34;583;263;Buchenbach;oeffentliche Wasserversorgung;142646;214214;298164;210692;261963;246430;163967;247411;161737;228188;203532;592.5139726;3;
67/020-4;397705.32;5312161.59;27;275;Hartheim am Rhein;Beregnung;9527;11048;33590;21300;26114;46446;30446;56762;26897;42973;33712;84.38739726;2;
67/070-2;400998.01;5309618.62;93;325;Bad Krozingen;Beregnung;50180;6448;27927;36610;44930;57652;46952;31009;22430;51778;36940;102.8284932;2;
68/070-8;402948.21;5306051.04;132;397;Bad Krozingen;Beregnung;1338;1350;1100;1120;1232;2079;602;411;1173;1235;2030;3.404657534;2;
69/020-5;399471.6;5311143;62;295;Hartheim am Rhein;Beregnung;57528;33148;79997;39740;64060;99347;114441;78612;40177;69885;57371;182.8906849;2;
69/170-8;435025.47;5313128.21;773;255;Sankt Maergen;Einzel-WV (Abgabe an Dritte), Wasserrecht erforderlich;219;248;182;244;268;270;204;204;224;173;;0.61260274;2;
7/020-6;398539.97;5312538.44;44;267;Hartheim am Rhein;Beregnung;55710;47370;81530;55660;64420;87110;62710;79410;44010;109390;84840;192.3189041;2;
70/020-2;399023.79;5309541.66;53;327;Hartheim am Rhein;Beregnung;45970;10000;80266;52589;47986;68637;46446;69080;30870;69291;54926;143.4772603;2;
70/169-6;428911.88;5319395.7;651;130;Sankt Peter;oeffentliche Wasserversorgung;96683;94605;92950;102534;126524;98940;91808;95648;101947;99556;91666;272.1945205;2;
7001/121-8;416737.67;5304721.61;408;423;Muenstertal/ Schwarzwald;Eigenwasserversorgung;2535;2880;2315;2154;2443;2264;2285;2625;1766;2539;3309;6.753424658;2;
7007/121-0;419779.45;5305492.27;468;408;Oberried;Betriebswasserversorgung mit Trinkwasserqualitaet;2050;2450;2271;2208;2344;2200;2187;1622;1616;1975;1927;5.691232877;3;
72/020-3;398345.06;5311793.74;40;282;Hartheim am Rhein;Beregnung;55969;34787;71063;64081;54350;101362;67363;68673;31148;69267;42804;164.5994521;2;
73/020-9;398240.11;5311519.86;38;287;Hartheim am Rhein;Beregnung;8638;12522;13805;9786;11250;26180;25180;36550;21660;24550;31200;55.12356164;2;
74/070-2;402166.52;5308110.23;116;356;Bad Krozingen;Kuehlwasserversorgung;54717;60472;68833;60402;60691;72930;77908;66748;102921;87575;68687;194.7408219;2;
75/020-0;398709.91;5311473.87;47;288;Hartheim am Rhein;Beregnung;75910;63000;84290;62340;71416;93644;65230;99820;38540;104210;96860;213.0161644;2;
75/070-8;402078.56;5308005.28;114;358;Bad Krozingen;Thermalwassergewinnung;44535;64303;57001;57601;54676;50139;53475;32793;30580;41514;53628;134.5567123;2;
76/020-5;398626.95;5310489.28;45;308;Hartheim am Rhein;Beregnung;178080;74890;227700;166650;182630;286940;201080;293402;136568;282610;207581;557.4424658;2;
766/069-9;409378.62;5321360.9;260;91;March;oeffentliche Wasserversorgung;360800;352190;305970;272710;340464;331946;322914;209993;328013;331660;317553;865.3082192;2;
767/069-4;409125.71;5322281.53;255;72;March;oeffentliche Wasserversorgung;197421;211846;220712;177694;115658;105367;90231;251480;91751;98535;103536;414.5032877;2;
768/069-0;409129.71;5322341.51;255;71;March;oeffentliche Wasserversorgung;22155;23736;30952;18916;22984;25959;27450;35335;24067;23076;22782;69.0939726;2;
77/020-0;398085.18;5310024.47;35;317;Hartheim am Rhein;Betriebswasserversorgung mit Trinkwasserqualitaet;728;128;157;105;223;190;2678;171;189;628;76;1.313424658;2;
772/069-3;410849.04;5324131.81;290;35;March;Beregnung;5407;5352;5311;5340;5200;5006;6026;7086;5751;4320;2040;14.15671233;2;
773/069-9;410715.88;5324593.74;287;26;March;Beregnung;12416;6984;6976;7001;6853;8086;9597;11510;12858;13940;15549;27.83808219;2;
777/069-0;407126.49;5324483.66;215;28;March;Eigenwasserversorgung;1031;1451;2138;1837;3681;4397;2715;4158;2019;1975;2302;6.9;2;
778/069-6;408151.09;5323529.04;236;47;March;Beregnung;2468;1464;2691;2321;1635;1861;1049;1411;1313;1613;1040;4.69890411;2;
78/020-6;399632.54;5310937.1;66;299;Hartheim am Rhein;Beregnung;4390;1618;3702;3828;2069;1413;5614;6511;5906;19668;15222;17.42;2;
81/020-4;397232.51;5311736.77;18;283;Hartheim am Rhein;Beregnung;18425;789;57529;43481;30351;51753;34140;26390;11240;35380;51910;90.00958904;2;
83/020-5;397715.32;5310694.18;27;304;Hartheim am Rhein;Brauchwasserversorgung Industrie/Gewerbe;4409;1426;571;391;311;630;1066;713;3993;3592;3698;5.180547945;2;
85/070-4;402262.49;5308187.19;118;354;Bad Krozingen;Beregnung Sport- und Freizeitanlagen;5017;7095;6236;9703;5322;3891;3584;3960;5175;10343;14891;18.7339726;2;
88/020-2;398964.81;5309832.56;52;321;Hartheim am Rhein;Waermepumpe (Entnahmestelle) ausgefuehrt;14139;13791;64324;14753;21674;22554;27898;29263;33432;21513;23612;71.47013699;2;
89/020-8;397015.59;5311883.71;13;280;Hartheim am Rhein;Brauchwasserversorgung Industrie/Gewerbe;15;17;14;15;28;13;12;21;51;24;151;0.089863014;2;
9/121-4;417072.53;5304409.73;414;430;Oberried;Eigenwasserversorgung;12176;11575;12759;12843;12854;13392;13581;9150;8661;12410;13007;32.97835616;3;
91/020-0;397885.24;5310544.25;31;307;Hartheim am Rhein;Brauchwasserversorgung Industrie/Gewerbe;652;1645;1376;1123;532;1381;1016;655;892;1545;532;2.826575342;2;
92/020-6;398319.07;5310838.14;39;301;Hartheim am Rhein;Betriebswasserversorgung mit Trinkwasserqualitaet;7545;2398;1839;2217;3654;331;670;1371;1097;877;379;5.57369863;2;
921/069-0;408684.89;5320620.19;247;105;Umkirch;Beregnung;1841;1822;2235;1698;1831;2031;1734;1319;842;952;955;4.29890411;2;
925/069-2;408635.91;5321045.02;246;97;Umkirch;oeffentliche Wasserversorgung;329;96;36;91;0;0;;221;1109;706;394;0.816986301;2;
95/020-2;398445.03;5308894.91;42;340;Hartheim am Rhein;Beregnung;37729;16873;30808;36123;32939;42485;46838;47346;23292;37930;35252;96.54164384;2;
;414911.1046;5315798.593;202;371;Freiburg im Breisgau;Eigenwasserversorgung;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;7.506027397;2;
W4F10.01;413504.5;5319541.4;344;128;Freiburg im Breisgau;Eigenwasserversorgung;1490.20274;2282.273425;1246.793425;1198.90411;1316.230137;1383.078082;1312.54411;1301.111507;1347.452055;1231.395068;1260.405479;1397.308194;3;Brunnen_1_6
W4F10.03;413673.9;5319614.8;347;126;Freiburg im Breisgau;Eigenwasserversorgung;234.9479452;96.5260274;130.9980822;252.7123288;201.1945205;199.9342466;116.8;109.3589041;90.09315068;280.3178082;263.8027397;179.6987049;3;Brunnen_3
W4F10.04;413618.1;5319607.9;346;126;Freiburg im Breisgau;Eigenwasserversorgung;74.37808219;90.97863014;95.86849315;141.7342466;121.6767123;105.5890411;83.09041096;67.96712329;121.9287671;484.8328767;301.4246575;153.5880946;3;Brunnen_4
W4F10.05;413594.6;5319603;345;126;Freiburg im Breisgau;Eigenwasserversorgung;199.2876712;168.8024658;162.7068493;339.7808219;334.5315068;267.7479452;169.2117808;144.569863;56.07671233;404.2849315;322.7506849;233.6137484;3;Brunnen_5
W4F10.08;414206.4;5319413.2;358;130;Freiburg im Breisgau;Eigenwasserversorgung;370.8493151;337.8739726;621.4246575;717.3260274;772.9183562;857.2210959;345.3260274;503.3863014;181.6547945;712.0767123;86.21534247;500.5702366;3;Brunnen_8 
W4F10.09;413813.9;5319242.8;350;134;Freiburg im Breisgau;Eigenwasserversorgung;776.0383562;560.8876712;273.0410959;680.3736986;200.9534247;1021.139726;1224.29589;1273.961644;1308.795068;1375.747945;1104.153425;890.8534496;3;Brunnen_9
W4F10.11;414014.5;5319339.7;354;132;Freiburg im Breisgau;Eigenwasserversorgung;34.03835616;84.92054795;217.9506849;105.5671233;153.9290411;243.2471233;52.54794521;144.9863014;12.24109589;480.9863014;552.5041096;189.3562391;3;Brunnen_11
W4F10.12;413654.3;5319184.1;347;135;Freiburg im Breisgau;Eigenwasserversorgung;387.2547945;296.8109589;1030.334247;977.9287671;680.3287671;741.830137;147.3205479;213.7643836;114.509589;300.339726;525.0849315;492.3188045;3;Brunnen_12
W4F10.13;414235;5320838;358;102;Freiburg im Breisgau;Eigenwasserversorgung;1136.865753;642.7945205;882.9808219;1118.947945;964.1863014;714.8;959.8027397;1639.912329;777.3369863;1244.449315;185.6219178;933.4271482;3;Brunnen_13
W4F10.14;414287.6;5320355.8;359;111;Freiburg im Breisgau;Eigenwasserversorgung;25.34794521;14.69589041;680.2630137;1154.564384;1566.246575;1042.926027;57.18356164;70.03835616;3.912328767;1.742465753;271.6756164;444.4178331;3;Brunnen_14
W4F10.16;413521.2;5319409.2;344;130;Freiburg im Breisgau;Eigenwasserversorgung;1392.120548;624.2673973;1376.785753;1323.89589;1095.300822;1273.110137;1248.090959;1220.30137;1316.435068;1076.928219;1048.511781;1181.431631;3;Brunnen_16
W4F10.17;413920;5320680;352;105;Freiburg im Breisgau;Eigenwasserversorgung;4736.043836;4509.201918;2681.150685;1035.649315;1667.605479;2514.586301;3151.249315;2447.112329;3284.135068;3087.254795;3998.969863;3010.268991;3;Brunnen_17
W4F10.18;414071;5321126;355;96;Freiburg im Breisgau;Eigenwasserversorgung;3948.120548;3800.770685;3735.824658;3524.021918;3339.386301;3538.895616;3530.652877;3519.909315;3406.137534;3002.673973;3016.471233;3487.533151;3;Brunnen_18