;[m3/s];;;;;;;;;;;;;
;"Q
";;;;;;;;;;;;;
25.05.20;;;;;;;;;;;;;;
26.05.20;0.704;;;;;;;;;;;;;
27.05.20;0.706;;;;;;;;;;;;;
28.05.20;0.7;;;;;;;;;;;;;
29.05.20;0.688;;;;;;;;;;;;;
30.05.20;0.679;;;;;;;;;;;;;
31.05.20;0.668;;;;;;;;;;;;;
01.06.20;0.651;;;;;;;;;;;;;
02.06.20;0.614;;;;;;;;;;;;;
03.06.20;0.596;;;;;;;;;;;;;
04.06.20;0.714;;;;;;;;;;;;;
05.06.20;0.772;;;;;;;;;;;;;
06.06.20;0.798;;;;;;;;;;;;;
07.06.20;0.801;;;;;;;;;;;;;
08.06.20;0.776;;;;;;;;;;;;;
09.06.20;0.774;;;;;;;;;;;;;
10.06.20;0.785;;;;;;;;;;;;;
11.06.20;0.8;;;;;;;;;;;;;
12.06.20;0.78;;;;;;;;;;;;;
13.06.20;0.778;;;;;;;;;;;;;
14.06.20;0.784;;;;;;;;;;;;;
15.06.20;0.774;;;;;;;;;;;;;
16.06.20;0.763;;;;;;;;;;;;;
17.06.20;0.794;;;;;;;;;;;;;
18.06.20;0.794;;;;;;;;;;;;;
19.06.20;0.78;;;;;;;;;;;;;
20.06.20;0.773;;;;;;;;;;;;;
21.06.20;0.765;;;;;;;;;;;;;
22.06.20;0.758;;;;;;;;;;;;;
23.06.20;0.75;;;;;;;;;;;;;
24.06.20;0.739;;;;;;;;;;;;;
25.06.20;0.729;;;;;;;;;;;;;
26.06.20;0.767;;;;;;;;;;;;;
27.06.20;0.772;;;;;;;;;;;;;
28.06.20;0.784;;;;;;;;;;;;;
29.06.20;0.778;;;;;;;;;;;;;
30.06.20;0.757;;;;;;;;;;;;;
01.07.20;0.744;;;;;;;;;;;;;
02.07.20;0.751;;;;;;;;;;;;;
03.07.20;0.736;;;;;;;;;;;;;
04.07.20;0.722;;;;;;;;;;;;;
05.07.20;0.711;;;;;;;;;;;;;
06.07.20;0.738;;;;;;;;;;;;;
07.07.20;0.714;;;;;;;;;;;;;
08.07.20;0.695;;;;;;;;;;;;;
09.07.20;0.678;;;;;;;;;;;;;
10.07.20;0.659;;;;;;;;;;;;;
11.07.20;0.658;;;;;;;;;;;;;
12.07.20;0.624;;;;;;;;;;;;;
13.07.20;0.6;;;;;;;;;;;;;
14.07.20;0.6;;;;;;;;;;;;;
15.07.20;0.645;;;;;;;;;;;;;
16.07.20;0.727;;;;;;;;;;;;;
17.07.20;0.79;;;;;;;;;;;;;
18.07.20;0.773;;;;;;;;;;;;;
19.07.20;0.765;;;;;;;;;;;;;
20.07.20;0.754;;;;;;;;;;;;;
21.07.20;0.744;;;;;;;;;;;;;
22.07.20;0.734;;;;;;;;;;;;;
23.07.20;0.691;;;;;;;;;;;;;
24.07.20;0.669;;;;;;;;;;;;;
25.07.20;0.643;;;;;;;;;;;;;
26.07.20;0.696;;;;;;;;;;;;;
27.07.20;0.695;;;;;;;;;;;;;
28.07.20;0.663;;;;;;;;;;;;;
29.07.20;0.655;;;;;;;;;;;;;
30.07.20;0.694;;;;;;;;;;;;;
31.07.20;0.706;;;;;;;;;;;;;
01.08.20;0.712;;;;;;;;;;;;;
02.08.20;0.81;;;;;;;;;;;;;
03.08.20;0.797;;;;;;;;;;;;;
04.08.20;0.804;;;;;;;;;;;;;
05.08.20;0.789;;;;;;;;;;;;;
06.08.20;0.777;;;;;;;;;;;;;
07.08.20;0.755;;;;;;;;;;;;;
08.08.20;0.678;;;;;;;;;;;;;
09.08.20;0.644;;;;;;;;;;;;;
10.08.20;0.621;;;;;;;;;;;;;
11.08.20;0.62;;;;;;;;;;;;;
12.08.20;0.705;;;;;;;;;;;;;
13.08.20;0.775;;;;;;;;;;;;;
14.08.20;0.756;;;;;;;;;;;;;
15.08.20;0.74;;;;;;;;;;;;;
16.08.20;0.66;;;;;;;;;;;;;
17.08.20;0.799;;;;;;;;;;;;;
18.08.20;0.784;;;;;;;;;;;;;
19.08.20;0.757;;;;;;;;;;;;;
20.08.20;0.683;;;;;;;;;;;;;
21.08.20;0.613;;;;;;;;;;;;;
22.08.20;0.644;;;;;;;;;;;;;
23.08.20;0.65;;;;;;;;;;;;;
24.08.20;0.677;;;;;;;;;;;;;
25.08.20;0.692;;;;;;;;;;;;;
26.08.20;0.702;;;;;;;;;;;;;
27.08.20;0.703;;;;;;;;;;;;;
28.08.20;0.719;;;;;;;;;;;;;
29.08.20;0.648;;;;;;;;;;;;;
30.08.20;0.762;;;;;;;;;;;;;
31.08.20;0.808;;;;;;;;;;;;;
01.09.20;0.791;;;;;;;;;;;;;
02.09.20;0.775;;;;;;;;;;;;;
03.09.20;0.761;;;;;;;;;;;;;
04.09.20;0.746;;;;;;;;;;;;;
05.09.20;0.732;;;;;;;;;;;;;
06.09.20;0.724;;;;;;;;;;;;;
07.09.20;0.716;;;;;;;;;;;;;
08.09.20;0.706;;;;;;;;;;;;;
09.09.20;0.692;;;;;;;;;;;;;
10.09.20;0.683;;;;;;;;;;;;;
11.09.20;0.699;;;;;;;;;;;;;
12.09.20;0.717;;;;;;;;;;;;;
13.09.20;0.713;;;;;;;;;;;;;
14.09.20;0.711;;;;;;;;;;;;;
15.09.20;0.68;;;;;;;;;;;;;
16.09.20;0.675;;;;;;;;;;;;;
17.09.20;0.672;;;;;;;;;;;;;
18.09.20;0.662;;;;;;;;;;;;;
19.09.20;0.676;;;;;;;;;;;;;
20.09.20;0.677;;;;;;;;;;;;;
21.09.20;0.636;;;;;;;;;;;;;
22.09.20;0.623;;;;;;;;;;;;;
23.09.20;0.592;;;;;;;;;;;;;
24.09.20;0.659;;;;;;;;;;;;;
25.09.20;0.771;;;;;;;;;;;;;
26.09.20;0.821;;;;;;;;;;;;;
27.09.20;0.855;;;;;;;;;;;;;
28.09.20;0.821;;;;;;;;;;;;;
29.09.20;0.817;;;;;;;;;;;;;
30.09.20;0.803;;;;;;;;;;;;;
01.10.20;0.798;;;;;;;;;;;;;
02.10.20;0.792;;;;;;;;;;;;;
03.10.20;0.799;;;;;;;;;;;;;
04.10.20;0.796;;;;;;;;;;;;;
05.10.20;0.798;;;;;;;;;;;;;
06.10.20;0.829;;;;;;;;;;;;;
07.10.20;0.841;;;;;;;;;;;;;
08.10.20;0.831;;;;;;;;;;;;;
09.10.20;0.821;;;;;;;;;;;;;
10.10.20;0.845;;;;;;;;;;;;;
11.10.20;0.834;;;;;;;;;;;;;
12.10.20;0.829;;;;;;;;;;;;;
13.10.20;0.824;;;;;;;;;;;;;
01.05.21;0.784;;;;;;;;;;;;;
02.05.21;0.791;;;;;;;;;;;;;
03.05.21;0.774;;;;;;;;;;;;;
04.05.21;0.769;;;;;;;;;;;;;
05.05.21;0.818;;;;;;;;;;;;;
06.05.21;0.824;;;;;;;;;;;;;
07.05.21;0.884;;;;;;;;;;;;;
08.05.21;0.872;;;;;;;;;;;;;
09.05.21;0.855;;;;;;;;;;;;;
10.05.21;0.846;;;;;;;;;;;;;
11.05.21;0.842;;;;;;;;;;;;;
12.05.21;0.843;;;;;;;;;;;;;
13.05.21;0.827;;;;;;;;;;;;;
14.05.21;0.813;;;;;;;;;;;;;
15.05.21;0.816;;;;;;;;;;;;;
16.05.21;0.836;;;;;;;;;;;;;
17.05.21;0.857;;;;;;;;;;;;;
18.05.21;0.876;;;;;;;;;;;;;
19.05.21;0.871;;;;;;;;;;;;;
20.05.21;0.863;;;;;;;;;;;;;
21.05.21;0.862;;;;;;;;;;;;;
22.05.21;0.865;;;;;;;;;;;;;
23.05.21;0.858;;;;;;;;;;;;;
24.05.21;0.848;;;;;;;;;;;;;
25.05.21;0.845;;;;;;;;;;;;;
26.05.21;0.844;;;;;;;;;;;;;
27.05.21;0.845;;;;;;;;;;;;;
28.05.21;0.837;;;;;;;;;;;;;
29.05.21;0.825;;;;;;;;;;;;;
30.05.21;0.812;;;;;;;;;;;;;
31.05.21;0.802;;;;;;;;;;;;;
01.06.21;0.801;;;;;;;;;;;;;
02.06.21;0.799;;;;;;;;;;;;;
03.06.21;0.79;;;;;;;;;;;;;
04.06.21;0.784;;;;;;;;;;;;;
05.06.21;0.788;;;;;;;;;;;;;
06.06.21;0.792;;;;;;;;;;;;;
07.06.21;0.786;;;;;;;;;;;;;
08.06.21;0.8;;;;;;;;;;;;;
09.06.21;0.818;;;;;;;;;;;;;
10.06.21;0.833;;;;;;;;;;;;;
11.06.21;0.819;;;;;;;;;;;;;
12.06.21;0.816;;;;;;;;;;;;;
13.06.21;0.808;;;;;;;;;;;;;
14.06.21;0.795;;;;;;;;;;;;;
15.06.21;0.785;;;;;;;;;;;;;
16.06.21;0.779;;;;;;;;;;;;;
17.06.21;0.768;;;;;;;;;;;;;
18.06.21;0.759;;;;;;;;;;;;;
19.06.21;0.756;;;;;;;;;;;;;
20.06.21;0.759;;;;;;;;;;;;;
21.06.21;0.761;;;;;;;;;;;;;
22.06.21;0.762;;;;;;;;;;;;;
23.06.21;0.758;;;;;;;;;;;;;
24.06.21;0.79;;;;;;;;;;;;;
25.06.21;0.782;;;;;;;;;;;;;
26.06.21;0.77;;;;;;;;;;;;;
27.06.21;0.766;;;;;;;;;;;;;
28.06.21;0.795;;;;;;;;;;;;;
29.06.21;0.828;;;;;;;;;;;;;
30.06.21;0.843;;;;;;;;;;;;;
01.07.21;0.847;;;;;;;;;;;;;
02.07.21;0.832;;;;;;;;;;;;;
03.07.21;0.821;;;;;;;;;;;;;
04.07.21;0.821;;;;;;;;;;;;;
05.07.21;0.816;;;;;;;;;;;;;
06.07.21;0.809;;;;;;;;;;;;;
07.07.21;0.805;;;;;;;;;;;;;
08.07.21;0.794;;;;;;;;;;;;;
09.07.21;0.8;;;;;;;;;;;;;
10.07.21;0.793;;;;;;;;;;;;;
11.07.21;0.807;;;;;;;;;;;;;
12.07.21;0.802;;;;;;;;;;;;;
13.07.21;0.86;;;;;;;;;;;;;
14.07.21;0.848;;;;;;;;;;;;;
15.07.21;0.88;;;;;;;;;;;;;
16.07.21;0.88;;;;;;;;;;;;;
17.07.21;0.873;;;;;;;;;;;;;
18.07.21;0.858;;;;;;;;;;;;;
19.07.21;0.847;;;;;;;;;;;;;
20.07.21;0.844;;;;;;;;;;;;;
21.07.21;0.836;;;;;;;;;;;;;
22.07.21;0.824;;;;;;;;;;;;;
23.07.21;0.814;;;;;;;;;;;;;
24.07.21;0.809;;;;;;;;;;;;;
25.07.21;0.818;;;;;;;;;;;;;
26.07.21;0.802;;;;;;;;;;;;;
27.07.21;0.796;;;;;;;;;;;;;
28.07.21;0.797;;;;;;;;;;;;;
29.07.21;0.788;;;;;;;;;;;;;
30.07.21;0.785;;;;;;;;;;;;;
31.07.21;0.769;;;;;;;;;;;;;
01.08.21;0.746;;;;;;;;;;;;;
02.08.21;0.733;;;;;;;;;;;;;
03.08.21;0.737;;;;;;;;;;;;;
04.08.21;0.744;;;;;;;;;;;;;
05.08.21;0.738;;;;;;;;;;;;;
06.08.21;0.73;;;;;;;;;;;;;
07.08.21;0.735;;;;;;;;;;;;;
08.08.21;0.691;;;;;;;;;;;;;
09.08.21;0.682;;;;;;;;;;;;;
10.08.21;0.675;;;;;;;;;;;;;
11.08.21;0.653;;;;;;;;;;;;;
12.08.21;0.662;;;;;;;;;;;;;
13.08.21;0.667;;;;;;;;;;;;;
14.08.21;0.643;;;;;;;;;;;;;
15.08.21;0.644;;;;;;;;;;;;;
16.08.21;0.582;;;;;;;;;;;;;
17.08.21;0.622;;;;;;;;;;;;;
18.08.21;0.633;;;;;;;;;;;;;
19.08.21;0.766;;;;;;;;;;;;;
20.08.21;0.757;;;;;;;;;;;;;
21.08.21;0.75;;;;;;;;;;;;;
22.08.21;0.759;;;;;;;;;;;;;
23.08.21;0.764;;;;;;;;;;;;;
24.08.21;0.75;;;;;;;;;;;;;
25.08.21;0.738;;;;;;;;;;;;;
26.08.21;0.732;;;;;;;;;;;;;
27.08.21;0.743;;;;;;;;;;;;;
28.08.21;0.757;;;;;;;;;;;;;
29.08.21;0.764;;;;;;;;;;;;;
30.08.21;0.775;;;;;;;;;;;;;
31.08.21;0.773;;;;;;;;;;;;;
01.09.21;0.749;;;;;;;;;;;;;
02.09.21;0.732;;;;;;;;;;;;;
03.09.21;0.729;;;;;;;;;;;;;
04.09.21;0.722;;;;;;;;;;;;;
05.09.21;0.724;;;;;;;;;;;;;
06.09.21;0.715;;;;;;;;;;;;;
07.09.21;0.696;;;;;;;;;;;;;
08.09.21;0.682;;;;;;;;;;;;;
09.09.21;0.654;;;;;;;;;;;;;
10.09.21;0.668;;;;;;;;;;;;;
11.09.21;0.671;;;;;;;;;;;;;
12.09.21;0.644;;;;;;;;;;;;;
13.09.21;0.62;;;;;;;;;;;;;
14.09.21;0.636;;;;;;;;;;;;;
15.09.21;0.731;;;;;;;;;;;;;
16.09.21;0.764;;;;;;;;;;;;;
17.09.21;0.699;;;;;;;;;;;;;
18.09.21;0.595;;;;;;;;;;;;;
19.09.21;0.668;;;;;;;;;;;;;
20.09.21;0.699;;;;;;;;;;;;;
21.09.21;0.69;;;;;;;;;;;;;
22.09.21;0.648;;;;;;;;;;;;;
23.09.21;0.653;;;;;;;;;;;;;
24.09.21;0.65;;;;;;;;;;;;;
25.09.21;0.634;;;;;;;;;;;;;
26.09.21;0.629;;;;;;;;;;;;;
27.09.21;0.616;;;;;;;;;;;;;
28.09.21;0.648;;;;;;;;;;;;;
29.09.21;0.629;;;;;;;;;;;;;
30.09.21;0.64;;;;;;;;;;;;;
01.10.21;0.658;;;;;;;;;;;;;
02.10.21;0.651;;;;;;;;;;;;;
03.10.21;0.658;;;;;;;;;;;;;
04.10.21;0.686;;;;;;;;;;;;;
05.10.21;0.722;;;;;;;;;;;;;
06.10.21;0.719;;;;;;;;;;;;;
07.10.21;0.703;;;;;;;;;;;;;
08.10.21;0.687;;;;;;;;;;;;;
09.10.21;0.661;;;;;;;;;;;;;
10.10.21;0.634;;;;;;;;;;;;;
11.10.21;0.65;;;;;;;;;;;;;
12.10.21;0.632;;;;;;;;;;;;;
13.10.21;0.693;;;;;;;;;;;;;
14.10.21;0.63;;;;;;;;;;;;;
15.10.21;0.61;;;;;;;;;;;;;
16.10.21;0.597;;;;;;;;;;;;;
17.10.21;0.63;;;;;;;;;;;;;
18.10.21;0.584;;;;;;;;;;;;;
19.10.21;0.636;;;;;;;;;;;;;
20.10.21;0.643;;;;;;;;;;;;;
21.10.21;0.691;;;;;;;;;;;;;
22.10.21;0.705;;;;;;;;;;;;;
23.10.21;0.642;;;;;;;;;;;;;
24.10.21;0.692;;;;;;;;;;;;;
25.10.21;0.708;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;